algo,controle,risque,graine,score,temps_s,fin
glouton,espace,loin_queue,522,129,379.2,mort
glouton,espace,loin_queue,523,218,1477.0,boucle
glouton,espace,loin_queue,508,223,892.4,victoire
glouton,espace,loin_queue,509,209,740.8,mort
glouton,espace,loin_queue,510,223,1282.2,victoire
glouton,espace,loin_queue,511,159,852.0,mort
glouton,espace,loin_queue,500,166,867.2,mort
glouton,espace,loin_queue,501,214,929.8,mort
glouton,espace,loin_queue,502,223,1081.0,victoire
glouton,espace,loin_queue,503,213,1706.6,boucle
glouton,espace,loin_queue,512,210,1177.0,mort
glouton,espace,loin_queue,513,152,733.0,mort
glouton,espace,loin_queue,514,208,925.8,mort
glouton,espace,loin_queue,515,133,400.2,mort
glouton,espace,loin_queue,536,223,1430.6,victoire
glouton,espace,loin_queue,537,132,353.6,mort
glouton,espace,loin_queue,538,149,767.8,mort
glouton,espace,loin_queue,539,126,280.0,mort
glouton,espace,loin_queue,528,217,1472.4,boucle
glouton,espace,loin_queue,529,105,212.4,mort
glouton,espace,loin_queue,530,209,1534.8,boucle
glouton,espace,loin_queue,531,133,398.0,mort
glouton,espace,loin_queue,544,207,953.2,mort
glouton,espace,loin_queue,545,212,825.4,mort
glouton,espace,loin_queue,546,209,943.8,mort
glouton,espace,loin_queue,547,128,314.0,mort
glouton,espace,loin_queue,532,219,1628.8,boucle
glouton,espace,loin_queue,533,131,399.4,mort
glouton,espace,loin_queue,534,222,990.4,mort
glouton,espace,loin_queue,535,222,1016.2,mort
glouton,espace,loin_queue,524,206,1093.2,mort
glouton,espace,loin_queue,525,214,1512.2,boucle
glouton,espace,loin_queue,526,221,1629.2,boucle
glouton,espace,loin_queue,527,199,926.4,mort
glouton,espace,loin_queue,540,223,1201.0,victoire
glouton,espace,loin_queue,541,219,1687.0,boucle
glouton,espace,loin_queue,542,128,356.2,mort
glouton,espace,loin_queue,543,220,1533.8,boucle
glouton,espace,loin_queue,548,101,238.4,mort
glouton,espace,loin_queue,549,218,1430.2,boucle
glouton,espace,loin_queue,550,216,1692.6,boucle
glouton,espace,loin_queue,551,209,963.6,mort
glouton,espace,loin_queue,556,217,1623.0,boucle
glouton,espace,loin_queue,557,140,482.6,mort
glouton,espace,loin_queue,558,214,1556.6,boucle
glouton,espace,loin_queue,559,109,280.2,mort
glouton,espace,loin_queue,516,213,1133.8,mort
glouton,espace,loin_queue,517,213,1515.4,boucle
glouton,espace,loin_queue,518,223,2025.0,victoire
glouton,espace,loin_queue,519,204,2029.6,mort
glouton,espace,loin_queue,580,137,435.2,mort
glouton,espace,loin_queue,581,120,305.8,mort
glouton,espace,loin_queue,582,222,920.8,mort
glouton,espace,loin_queue,583,91,202.4,mort
glouton,espace,loin_queue,572,80,151.8,mort
glouton,espace,loin_queue,573,223,981.0,victoire
glouton,espace,loin_queue,574,211,1089.4,mort
glouton,espace,loin_queue,575,92,202.4,mort
glouton,espace,loin_queue,552,221,1735.2,boucle
glouton,espace,loin_queue,553,192,787.2,mort
glouton,espace,loin_queue,554,205,971.8,mort
glouton,espace,loin_queue,555,223,1257.8,victoire
glouton,espace,loin_queue,560,211,1047.8,mort
glouton,espace,loin_queue,561,125,395.4,mort
glouton,espace,loin_queue,562,212,991.2,mort
glouton,espace,loin_queue,563,214,1657.4,boucle
glouton,espace,loin_queue,564,220,1616.8,boucle
glouton,espace,loin_queue,565,129,385.4,mort
glouton,espace,loin_queue,566,212,884.2,mort
glouton,espace,loin_queue,567,210,1536.4,boucle
glouton,espace,loin_queue,568,102,244.2,mort
glouton,espace,loin_queue,569,122,295.0,mort
glouton,espace,loin_queue,570,214,1548.2,boucle
glouton,espace,loin_queue,571,219,1710.4,boucle
glouton,espace,loin_queue,584,114,267.0,mort
glouton,espace,loin_queue,585,211,921.6,mort
glouton,espace,loin_queue,586,223,1225.4,victoire
glouton,espace,loin_queue,587,114,228.0,mort
glouton,espace,loin_queue,576,214,1693.4,boucle
glouton,espace,loin_queue,577,204,822.8,mort
glouton,espace,loin_queue,578,215,1531.6,boucle
glouton,espace,loin_queue,579,116,284.4,mort
glouton,espace,loin_queue,592,215,861.0,mort
glouton,espace,loin_queue,593,128,321.8,mort
glouton,espace,loin_queue,594,145,688.6,mort
glouton,espace,loin_queue,595,219,1850.8,boucle
glouton,espace,loin_queue,596,112,251.6,mort
glouton,espace,loin_queue,597,209,826.4,mort
glouton,espace,loin_queue,598,202,956.0,mort
glouton,espace,loin_queue,599,214,1738.2,boucle
glouton,espace,loin_queue,600,128,287.6,mort
glouton,espace,loin_queue,601,214,1171.2,mort
glouton,espace,loin_queue,602,212,1529.4,boucle
glouton,espace,loin_queue,603,192,1041.4,mort
glouton,espace,loin_queue,604,98,245.4,mort
glouton,espace,loin_queue,605,222,844.6,mort
glouton,espace,loin_queue,606,223,1013.0,victoire
glouton,espace,loin_queue,607,214,1722.6,boucle
glouton,espace,loin_queue,588,210,1721.4,boucle
glouton,espace,loin_queue,589,216,1535.0,boucle
glouton,espace,loin_queue,590,213,1479.4,boucle
glouton,espace,loin_queue,591,221,1551.2,boucle
glouton,espace,loin_queue,612,195,1011.0,mort
glouton,espace,loin_queue,613,212,984.0,mort
glouton,espace,loin_queue,614,219,1477.8,boucle
glouton,espace,loin_queue,615,223,917.8,victoire
