partie,score,record,mean100,epsilon,steps,temps_s,victoire
189,15,51,22.670,0.0100,34006,240.6,0
190,41,51,22.940,0.0100,34460,244.1,0
191,36,51,23.200,0.0100,34809,246.8,0
192,28,51,23.230,0.0100,35029,248.6,0
193,28,51,23.370,0.0100,35294,250.6,0
194,17,51,23.420,0.0100,35449,251.8,0
195,34,51,23.590,0.0100,35764,254.2,0
196,41,51,23.840,0.0100,36160,257.2,0
197,20,51,23.810,0.0100,36319,258.4,0
198,28,51,23.870,0.0100,36538,260.0,0
199,17,51,23.580,0.0100,36666,261.0,0
200,34,51,23.770,0.0100,36939,263.0,0
201,15,51,23.810,0.0100,37057,268.6,0
202,10,51,23.790,0.0100,37140,269.2,0
203,24,51,23.620,0.0100,37369,270.9,0
204,27,51,23.700,0.0100,37603,272.8,0
205,21,51,23.620,0.0100,37789,274.2,0
206,11,51,23.520,0.0100,37900,275.0,0
207,29,51,23.710,0.0100,38165,277.2,0
208,23,51,23.810,0.0100,38384,278.9,0
209,21,51,23.710,0.0100,38565,280.5,0
210,17,51,23.790,0.0100,38709,281.6,0
211,52,52,24.130,0.0100,39267,286.6,0
212,31,52,24.150,0.0100,39512,288.8,0
213,41,52,24.420,0.0100,39887,292.0,0
214,10,52,24.320,0.0100,39972,292.7,0
215,23,52,24.230,0.0100,40157,294.3,0
216,20,52,24.300,0.0100,40305,295.5,0
217,24,52,24.470,0.0100,40521,297.2,0
218,31,52,24.670,0.0100,40817,299.4,0
219,41,52,24.920,0.0100,41193,302.5,0
220,11,52,24.790,0.0100,41304,303.4,0
221,33,52,25.030,0.0100,41643,306.1,0
222,23,52,25.050,0.0100,41823,307.5,0
223,22,52,25.150,0.0100,42003,308.9,0
224,23,52,25.020,0.0100,42206,310.6,0
225,37,52,25.230,0.0100,42519,313.0,0
226,28,52,25.260,0.0100,42788,315.3,0
227,35,52,25.400,0.0100,43113,318.0,0
228,28,52,25.500,0.0100,43324,319.6,0
229,18,52,25.570,0.0100,43486,320.8,0
230,34,52,25.630,0.0100,43792,323.1,0
231,37,52,25.820,0.0100,44105,325.5,0
232,30,52,25.770,0.0100,44342,327.3,0
233,16,52,25.520,0.0100,44494,328.4,0
234,16,52,25.480,0.0100,44652,329.6,0
235,29,52,25.420,0.0100,44909,331.5,0
236,23,52,25.430,0.0100,45127,333.3,0
237,12,52,25.350,0.0100,45237,334.1,0
238,34,52,25.460,0.0100,45562,336.6,0
239,37,52,25.620,0.0100,45854,338.9,0
240,14,52,25.660,0.0100,45969,339.8,0
241,36,52,25.770,0.0100,46285,342.2,0
242,36,52,25.980,0.0100,46612,344.8,0
243,38,52,26.050,0.0100,46959,347.6,0
244,33,52,26.200,0.0100,47246,350.0,0
245,19,52,26.080,0.0100,47407,351.3,0
246,19,52,25.990,0.0100,47554,352.5,0
247,25,52,26.150,0.0100,47774,354.3,0
248,37,52,26.350,0.0100,48120,356.9,0
249,21,52,26.310,0.0100,48310,358.5,0
250,17,52,26.220,0.0100,48437,359.5,0
251,15,52,26.110,0.0100,48564,360.5,0
252,17,52,25.980,0.0100,48712,361.6,0
253,24,52,26.020,0.0100,48915,363.4,0
254,18,52,25.900,0.0100,49056,364.4,0
255,37,52,26.100,0.0100,49365,366.9,0
256,43,52,26.090,0.0100,49757,370.0,0
257,29,52,26.150,0.0100,50027,372.1,0
258,53,53,26.350,0.0100,50543,376.3,0
259,24,53,26.260,0.0100,50735,377.8,0
260,44,53,26.550,0.0100,51084,380.6,0
261,38,53,26.500,0.0100,51478,383.6,0
262,28,53,26.550,0.0100,51710,385.4,0
263,25,53,26.480,0.0100,51882,386.8,0
264,23,53,26.570,0.0100,52069,388.2,0
265,23,53,26.600,0.0100,52269,389.7,0
266,20,53,26.660,0.0100,52423,390.9,0
267,10,53,26.420,0.0100,52488,391.5,0
268,13,53,26.420,0.0100,52607,392.4,0
269,22,53,26.260,0.0100,52826,394.1,0
270,25,53,26.270,0.0100,53037,395.7,0
271,36,53,26.360,0.0100,53423,398.7,0
272,41,53,26.560,0.0100,53805,401.8,0
273,22,53,26.500,0.0100,53985,403.2,0
274,10,53,26.400,0.0100,54081,403.9,0
275,8,53,26.300,0.0100,54145,404.4,0
276,43,53,26.480,0.0100,54551,407.6,0
277,52,53,26.610,0.0100,55050,411.5,0
278,49,53,26.970,0.0100,55504,415.1,0
279,38,53,26.890,0.0100,55862,417.9,0
280,12,53,26.830,0.0100,55955,418.6,0
281,18,53,26.780,0.0100,56106,419.7,0
282,54,54,26.860,0.0100,56571,423.4,0
283,17,54,26.920,0.0100,56685,424.3,0
284,22,54,26.630,0.0100,56871,425.8,0
285,10,54,26.560,0.0100,56941,426.3,0
286,39,54,26.790,0.0100,57336,429.3,0
287,22,54,26.670,0.0100,57502,430.6,0
288,16,54,26.710,0.0100,57646,431.7,0
289,23,54,26.790,0.0100,57824,433.1,0
290,15,54,26.530,0.0100,57941,434.0,0
291,39,54,26.560,0.0100,58294,436.7,0
292,39,54,26.670,0.0100,58677,439.6,0
293,17,54,26.560,0.0100,58812,440.7,0
294,50,54,26.890,0.0100,59227,443.9,0
295,22,54,26.770,0.0100,59424,445.5,0
296,33,54,26.690,0.0100,59738,447.9,0
297,9,54,26.580,0.0100,59819,448.5,0
298,30,54,26.600,0.0100,60070,450.4,0
299,14,54,26.570,0.0100,60182,451.3,0
300,28,54,26.510,0.0100,60416,453.3,0
301,24,54,26.600,0.0100,60582,457.8,0
302,34,54,26.840,0.0100,60927,460.4,0
303,22,54,26.820,0.0100,61122,462.1,0
304,37,54,26.920,0.0100,61448,465.4,0
305,22,54,26.930,0.0100,61675,468.0,0
306,29,54,27.110,0.0100,61973,470.8,0
307,21,54,27.030,0.0100,62142,472.4,0
308,33,54,27.130,0.0100,62463,474.9,0
309,33,54,27.250,0.0100,62769,477.3,0
310,31,54,27.390,0.0100,63010,479.2,0
311,14,54,27.010,0.0100,63121,480.0,0
312,35,54,27.050,0.0100,63439,482.4,0
313,19,54,26.830,0.0100,63619,483.8,0
314,25,54,26.980,0.0100,63847,485.6,0
315,17,54,26.920,0.0100,63979,486.8,0
316,28,54,27.000,0.0100,64225,489.0,0
317,31,54,27.070,0.0100,64498,491.5,0
