partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
279,0,3,0.276,301,nan,0.0,217.15
280,2,3,0.282,521,260.5,0.0192,218.43
281,0,3,0.281,301,nan,0.0,219.27
282,0,3,0.28,301,nan,0.0,220.18
283,0,3,0.279,301,nan,0.0,220.9
284,0,3,0.278,301,nan,0.0,221.93
285,0,3,0.277,301,nan,0.0,222.97
286,0,3,0.276,301,nan,0.0,223.71
287,0,3,0.275,301,nan,0.0,224.77
288,0,3,0.274,301,nan,0.0,225.79
289,0,3,0.273,301,nan,0.0,226.81
290,0,3,0.272,301,nan,0.0,227.84
291,0,3,0.271,301,nan,0.0,228.86
292,0,3,0.271,301,nan,0.0,229.89
293,0,3,0.27,301,nan,0.0,230.9
294,2,3,0.276,569,284.5,0.0176,232.45
295,0,3,0.275,301,nan,0.0,233.47
296,0,3,0.274,301,nan,0.0,234.48
297,0,3,0.273,301,nan,0.0,235.49
298,1,3,0.275,423,423.0,0.0118,236.76
299,0,3,0.274,301,nan,0.0,237.78
300,1,3,0.277,437,437.0,0.0114,239.07
301,2,3,0.282,564,282.0,0.0177,240.62
302,0,3,0.281,301,nan,0.0,241.64
303,2,3,0.287,23,11.5,0.4348,242.13
304,0,3,0.286,301,nan,0.0,243.16
305,1,3,0.289,407,407.0,0.0123,244.4
306,1,3,0.291,420,420.0,0.0119,245.66
307,2,3,0.296,524,262.0,0.0191,247.15
308,1,3,0.299,410,410.0,0.0122,248.41
309,0,3,0.298,301,nan,0.0,249.54
310,1,3,0.3,429,429.0,0.0117,250.81
311,0,3,0.299,301,nan,0.0,251.83
312,1,3,0.301,412,412.0,0.0121,253.08
313,0,3,0.3,301,nan,0.0,254.11
314,0,3,0.299,301,nan,0.0,255.14
315,0,3,0.298,301,nan,0.0,256.21
316,0,3,0.297,301,nan,0.0,257.24
317,0,3,0.297,301,nan,0.0,258.27
318,5,5,0.311,890,178.0,0.0281,260.47
319,0,5,0.31,301,nan,0.0,261.48
320,0,5,0.309,301,nan,0.0,262.5
321,1,5,0.312,406,406.0,0.0123,263.74
322,0,5,0.311,301,nan,0.0,264.75
323,0,5,0.31,301,nan,0.0,265.77
324,1,5,0.312,413,413.0,0.0121,267.01
325,0,5,0.311,301,nan,0.0,268.04
326,1,5,0.313,420,420.0,0.0119,269.28
327,0,5,0.312,301,nan,0.0,270.32
328,3,5,0.32,629,209.67,0.0238,272.0
329,0,5,0.319,301,nan,0.0,273.04
330,0,5,0.318,301,nan,0.0,274.13
331,0,5,0.317,301,nan,0.0,275.13
332,1,5,0.319,420,420.0,0.0119,276.41
333,1,5,0.321,418,418.0,0.012,277.7
334,1,5,0.323,427,427.0,0.0117,279.01
335,0,5,0.322,301,nan,0.0,280.05
336,0,5,0.321,301,nan,0.0,281.21
337,0,5,0.32,301,nan,0.0,282.37
338,1,5,0.322,413,413.0,0.0121,283.7
339,0,5,0.322,301,nan,0.0,284.75
340,0,5,0.321,301,nan,0.0,285.77
341,0,5,0.32,301,nan,0.0,286.81
342,1,5,0.322,410,410.0,0.0122,288.05
343,0,5,0.321,301,nan,0.0,289.08
344,1,5,0.323,61,61.0,0.082,289.65
345,0,5,0.322,301,nan,0.0,290.68
346,0,5,0.321,301,nan,0.0,291.7
347,1,5,0.323,408,408.0,0.0123,292.82
348,0,5,0.322,301,nan,0.0,293.51
349,1,5,0.324,415,415.0,0.012,294.5
350,0,5,0.323,301,nan,0.0,295.32
351,0,5,0.322,301,nan,0.0,296.11
352,4,5,0.332,817,204.25,0.0245,297.76
353,0,5,0.331,301,nan,0.0,298.55
354,0,5,0.331,301,nan,0.0,299.36
355,1,5,0.332,412,412.0,0.0121,300.33
356,2,5,0.337,541,270.5,0.0185,301.3
357,0,5,0.336,301,nan,0.0,301.96
358,0,5,0.335,301,nan,0.0,302.61
359,6,6,0.351,1030,171.67,0.0291,304.23
360,1,6,0.353,411,411.0,0.0122,305.05
361,1,6,0.355,412,412.0,0.0121,306.29
362,9,9,0.378,201,22.33,0.2239,307.11
363,1,9,0.38,407,407.0,0.0123,308.34
364,1,9,0.382,408,408.0,0.0123,309.57
365,0,9,0.381,301,nan,0.0,310.59
366,1,9,0.383,423,423.0,0.0118,311.84
367,1,9,0.384,414,414.0,0.0121,313.09
368,1,9,0.386,411,411.0,0.0122,314.33
369,0,9,0.385,301,nan,0.0,315.37
370,0,9,0.384,301,nan,0.0,316.38
371,0,9,0.383,301,nan,0.0,317.39
372,0,9,0.382,301,nan,0.0,318.41
373,1,9,0.383,410,410.0,0.0122,319.45
374,1,9,0.385,408,408.0,0.0123,320.21
375,0,9,0.384,301,nan,0.0,320.83
376,0,9,0.383,301,nan,0.0,321.45
377,10,10,0.408,224,22.4,0.2232,321.97
378,0,10,0.407,301,nan,0.0,322.58
379,0,10,0.406,301,nan,0.0,323.2
380,38,38,0.505,846,22.26,0.2246,324.58
381,31,38,0.585,585,18.87,0.265,325.61
382,24,38,0.647,394,16.42,0.3046,326.37
383,14,38,0.681,269,19.21,0.2602,326.96
384,20,38,0.732,290,14.5,0.3448,327.59
385,31,38,0.81,526,16.97,0.2947,328.54
386,22,38,0.865,439,19.95,0.2506,329.35
387,22,38,0.92,363,16.5,0.303,330.07
388,40,40,1.021,719,17.98,0.2782,331.3
389,46,46,1.136,907,19.72,0.2536,332.78
390,25,46,1.197,357,14.28,0.3501,333.5
391,81,81,1.402,1742,21.51,0.2325,336.29
392,28,81,1.469,435,15.54,0.3218,337.09
393,24,81,1.527,346,14.42,0.3468,337.79
394,40,81,1.624,747,18.68,0.2677,339.04
395,45,81,1.734,655,14.56,0.3435,340.24
396,41,81,1.833,696,16.98,0.2945,341.46
397,47,81,1.947,762,16.21,0.3084,342.9
398,45,81,2.055,678,15.07,0.3319,344.13
399,50,81,2.175,906,18.12,0.2759,345.7
400,28,81,2.24,360,12.86,0.3889,346.46
