cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
reconstruit,0.25,1026,True,223,6345,victoire,1.0,507,0.25333333333333335,509,3,0,64,93,12,2.82
reconstruit,0.25,1027,True,223,5021,victoire,1.0,438,0.25333333333333335,442,5,0,68,97,4,1.79
reconstruit,0.25,1028,True,223,5211,victoire,1.0,491,0.25333333333333335,524,34,0,72,77,19,2.82
reconstruit,0.25,1029,True,223,4900,victoire,1.0,454,0.25333333333333335,454,1,0,69,88,11,2.27
reconstruit,0.3,1000,True,223,5687,victoire,1.0,577,0.3022222222222222,588,12,0,68,76,14,2.44
reconstruit,0.3,1001,True,223,4990,victoire,1.0,542,0.3022222222222222,589,48,0,63,82,12,2.3
reconstruit,0.3,1002,True,223,4708,victoire,1.0,556,0.3022222222222222,558,3,0,62,87,9,2.19
reconstruit,0.3,1003,True,223,5257,victoire,1.0,595,0.3022222222222222,645,51,0,53,96,8,2.13
reconstruit,0.3,1004,True,223,4509,victoire,1.0,537,0.3022222222222222,586,50,0,65,81,9,2.01
reconstruit,0.3,1005,True,223,4597,victoire,1.0,594,0.3022222222222222,627,34,0,68,85,5,1.59
reconstruit,0.3,1006,True,223,5105,victoire,1.0,533,0.3022222222222222,550,18,0,68,81,8,1.77
reconstruit,0.3,1007,True,223,5080,victoire,1.0,626,0.3022222222222222,652,27,0,61,84,12,2.34
reconstruit,0.3,1008,True,223,5318,victoire,1.0,496,0.3022222222222222,507,12,0,52,99,6,1.6
reconstruit,0.3,1009,True,223,4580,victoire,1.0,498,0.3022222222222222,664,167,0,48,82,15,2.42
reconstruit,0.3,1010,True,223,5083,victoire,1.0,561,0.3022222222222222,630,70,0,62,86,9,2.01
reconstruit,0.3,1011,True,223,5144,victoire,1.0,521,0.3022222222222222,567,47,0,63,90,5,1.59
reconstruit,0.3,1012,True,223,5094,victoire,1.0,624,0.3022222222222222,689,66,0,63,89,3,1.55
reconstruit,0.3,1013,True,223,4582,victoire,1.0,538,0.3022222222222222,538,1,0,65,75,17,2.82
reconstruit,0.3,1014,True,223,4258,victoire,1.0,529,0.3022222222222222,565,37,0,61,90,5,1.46
reconstruit,0.3,1015,True,223,4767,victoire,1.0,557,0.3022222222222222,580,24,0,73,77,5,1.67
reconstruit,0.3,1016,True,223,5010,victoire,1.0,514,0.3022222222222222,525,12,0,68,73,17,2.22
reconstruit,0.3,1017,True,223,4458,victoire,1.0,571,0.3022222222222222,620,50,0,66,86,4,1.58
reconstruit,0.3,1018,True,223,4900,victoire,1.0,600,0.3022222222222222,652,53,0,55,89,12,2.24
reconstruit,0.3,1019,True,223,4389,victoire,1.0,591,0.3022222222222222,646,56,0,70,76,10,1.91
reconstruit,0.3,1020,True,223,5279,victoire,1.0,562,0.3022222222222222,607,46,0,59,87,12,2.49
reconstruit,0.3,1021,True,223,5747,victoire,1.0,523,0.3022222222222222,535,13,0,29,108,20,3.0
reconstruit,0.3,1022,True,223,5379,victoire,1.0,546,0.3022222222222222,573,28,0,55,87,14,2.31
reconstruit,0.3,1023,True,223,3775,victoire,1.0,652,0.3022222222222222,851,200,0,62,82,1,1.26
reconstruit,0.3,1024,True,223,4674,victoire,1.0,588,0.3022222222222222,592,5,0,73,81,4,1.54
reconstruit,0.3,1025,True,223,4850,victoire,1.0,611,0.3022222222222222,660,50,0,69,83,6,1.8
reconstruit,0.3,1026,True,223,5422,victoire,1.0,630,0.3022222222222222,640,11,0,59,95,4,1.54
reconstruit,0.3,1027,True,223,4685,victoire,1.0,551,0.3022222222222222,582,32,0,67,87,2,1.73
reconstruit,0.3,1028,True,223,4683,victoire,1.0,612,0.3022222222222222,681,70,0,66,82,7,1.87
reconstruit,0.3,1029,True,223,4800,victoire,1.0,593,0.3022222222222222,598,6,0,65,80,13,2.36
reconstruit,0.35,1000,True,223,4627,victoire,1.0,714,0.3511111111111111,770,57,0,62,73,9,1.91
reconstruit,0.35,1001,True,223,4590,victoire,1.0,645,0.3511111111111111,777,133,0,58,77,3,1.2
reconstruit,0.35,1002,True,223,4122,victoire,1.0,717,0.3511111111111111,741,25,0,60,80,7,1.84
reconstruit,0.35,1003,True,223,4028,victoire,1.0,702,0.3511111111111111,706,5,0,61,78,7,1.4
reconstruit,0.35,1004,True,223,4094,victoire,1.0,698,0.3511111111111111,719,22,0,59,79,7,1.82
reconstruit,0.35,1005,True,223,4729,victoire,1.0,729,0.3511111111111111,746,18,0,56,85,5,1.62
reconstruit,0.35,1006,True,223,4755,victoire,1.0,647,0.3511111111111111,697,51,0,49,82,12,2.38
reconstruit,0.35,1007,True,223,4570,victoire,1.0,717,0.3511111111111111,774,58,0,61,81,4,1.26
reconstruit,0.35,1008,True,223,4264,victoire,1.0,633,0.3511111111111111,667,35,0,62,79,5,1.65
reconstruit,0.35,1009,True,223,4580,victoire,1.0,609,0.3511111111111111,664,56,0,48,82,15,2.23
reconstruit,0.35,1010,True,223,4049,victoire,1.0,714,0.3511111111111111,924,211,0,52,76,6,1.7
reconstruit,0.35,1011,True,223,3720,victoire,1.0,634,0.3511111111111111,1172,539,0,41,72,1,1.59
reconstruit,0.35,1012,True,223,4838,victoire,1.0,767,0.3511111111111111,971,205,0,57,79,5,1.75
reconstruit,0.35,1013,True,223,4133,victoire,1.0,627,0.3511111111111111,680,54,0,62,72,12,2.11
reconstruit,0.35,1014,True,223,4820,victoire,1.0,697,0.3511111111111111,840,144,0,39,94,7,1.7
reconstruit,0.35,1015,True,223,4219,victoire,1.0,680,0.3511111111111111,714,35,0,62,80,5,1.52
reconstruit,0.35,1016,True,223,4671,victoire,1.0,631,0.3511111111111111,713,83,0,63,72,10,2.12
reconstruit,0.35,1017,True,223,4057,victoire,1.0,648,0.3511111111111111,846,199,0,40,85,8,1.73
reconstruit,0.35,1018,False,217,8606,boucle,0.9777777777777777,797,0.3511111111111111,,7809,0,0,0,0,20.58
reconstruit,0.35,1019,False,221,6098,corps,0.9955555555555555,756,0.3511111111111111,,5342,0,0,0,0,13.15
reconstruit,0.35,1020,True,223,4604,victoire,1.0,767,0.3511111111111111,784,18,0,61,75,11,1.88
reconstruit,0.35,1021,True,223,4111,victoire,1.0,634,0.3511111111111111,676,43,0,63,73,10,1.76
reconstruit,0.35,1022,True,223,5015,victoire,1.0,660,0.3511111111111111,662,3,0,49,84,14,2.38
reconstruit,0.35,1023,True,223,3775,victoire,1.0,799,0.3511111111111111,851,53,0,62,82,1,1.13
reconstruit,0.35,1024,True,223,4286,victoire,1.0,684,0.3511111111111111,731,48,0,60,86,1,1.24
reconstruit,0.35,1025,True,223,4330,victoire,1.0,692,0.3511111111111111,760,69,0,56,76,12,2.16
reconstruit,0.35,1026,True,223,4075,victoire,1.0,736,0.3511111111111111,737,2,0,52,84,10,1.93
reconstruit,0.35,1027,True,223,4648,victoire,1.0,698,0.3511111111111111,735,38,0,64,73,7,1.97
reconstruit,0.35,1028,False,211,5132,corps,0.9511111111111111,730,0.3511111111111111,,4402,0,0,0,0,10.69
reconstruit,0.35,1029,True,223,4532,victoire,1.0,728,0.3511111111111111,735,8,0,56,84,7,1.72
reconstruit,0.4,1000,False,205,5915,corps,0.9244444444444444,860,0.4,,5055,0,0,0,0,12.0
