cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,switch_by,secours,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
temporel,0.6,1000,True,223,4732,victoire,1.0,1739,0.6,seuil,8,1739,0,0,50,39,8,4.6
temporel,0.6,1001,True,223,5063,victoire,1.0,1679,0.6,seuil,1,1679,0,0,54,28,10,4.24
temporel,0.6,1002,True,223,5216,victoire,1.0,1764,0.6,seuil,2,1764,0,0,54,30,9,4.08
temporel,0.6,1003,True,223,5215,victoire,1.0,1781,0.6044444444444445,seuil,4,1781,0,0,54,31,9,4.48
temporel,0.6,1004,True,223,4783,victoire,1.0,1742,0.6044444444444445,seuil,66,1742,0,0,56,22,14,4.06
temporel,0.6,1005,True,223,5443,victoire,1.0,1909,0.6,seuil,3,1909,0,0,59,30,4,4.09
temporel,0.6,1006,True,223,5757,victoire,1.0,1924,0.6,seuil,2,1924,0,0,63,20,10,3.95
temporel,0.6,1007,True,223,4702,victoire,1.0,1937,0.6,seuil,2,1937,0,0,59,27,7,3.69
temporel,0.6,1008,True,223,5084,victoire,1.0,1885,0.6,seuil,2,1885,0,0,49,30,14,4.09
temporel,0.6,1009,False,221,5426,corps,0.9955555555555555,1998,0.6,seuil,6,1998,0,0,55,26,12,5.09
temporel,0.6,1010,True,223,6040,victoire,1.0,1889,0.6,seuil,1,1889,0,0,45,29,18,4.74
temporel,0.6,1011,True,223,5391,victoire,1.0,1596,0.6,seuil,3,1596,0,0,59,27,7,3.72
temporel,0.6,1012,True,223,4992,victoire,1.0,2006,0.6,seuil,100,2006,0,0,56,33,5,3.68
temporel,0.6,1013,True,223,5757,victoire,1.0,1483,0.6,seuil,3,1483,0,0,58,26,10,4.16
temporel,0.6,1014,True,223,5616,victoire,1.0,2026,0.6,seuil,4,2026,0,0,50,31,13,4.13
temporel,0.6,1015,True,223,5457,victoire,1.0,1871,0.6,seuil,1,1871,0,0,62,20,10,3.74
temporel,0.6,1016,True,223,5336,victoire,1.0,1693,0.6,seuil,3,1693,0,0,48,33,13,4.8
temporel,0.6,1017,False,221,4806,corps,0.9955555555555555,1714,0.6,seuil,14,1714,0,0,60,24,9,3.48
temporel,0.6,1018,True,223,5467,victoire,1.0,1869,0.6,seuil,79,1869,0,0,50,31,12,3.91
temporel,0.6,1019,True,223,5562,victoire,1.0,1831,0.6044444444444445,seuil,10,1831,0,0,61,22,10,4.41
temporel,0.6,1020,True,223,5467,victoire,1.0,1636,0.6,seuil,2,1636,0,0,57,29,7,3.27
temporel,0.6,1021,False,219,4700,corps,0.9866666666666667,1780,0.6,seuil,4,1780,0,0,54,24,11,4.05
temporel,0.6,1022,True,223,5695,victoire,1.0,1754,0.6,seuil,2,1754,0,0,51,31,11,4.63
temporel,0.6,1023,False,221,5338,corps,0.9955555555555555,2003,0.6,seuil,8,2003,0,0,58,17,18,5.69
temporel,0.6,1024,True,223,5038,victoire,1.0,1785,0.6,seuil,24,1785,0,0,52,36,5,3.65
temporel,0.6,1025,True,223,4475,victoire,1.0,1585,0.6,seuil,2,1585,0,0,57,31,5,3.68
temporel,0.6,1026,True,223,4535,victoire,1.0,1752,0.6,seuil,248,1752,0,0,61,20,16,4.84
temporel,0.6,1027,False,214,4363,corps,0.9644444444444444,1655,0.6044444444444445,seuil,9,1655,0,0,49,26,8,3.7
temporel,0.6,1028,True,223,5013,victoire,1.0,1662,0.6044444444444445,seuil,12,1662,0,0,55,25,13,5.26
temporel,0.6,1029,True,223,4797,victoire,1.0,1856,0.6,seuil,1,1856,0,0,52,37,3,3.25
temporel,0.7,1000,True,223,5411,victoire,1.0,2567,0.7022222222222222,seuil,24,2567,0,0,39,25,9,4.87
temporel,0.7,1001,True,223,4576,victoire,1.0,2295,0.7066666666666667,seuil,22,2295,0,0,45,17,7,5.12
temporel,0.7,1002,True,223,5108,victoire,1.0,2551,0.7022222222222222,seuil,1,2551,0,0,39,23,7,3.13
temporel,0.7,1003,True,223,5433,victoire,1.0,2457,0.7022222222222222,seuil,6,2457,0,0,33,23,14,4.67
temporel,0.7,1004,True,223,4364,victoire,1.0,2350,0.7022222222222222,seuil,42,2350,0,0,40,20,12,3.85
temporel,0.7,1005,False,220,7573,boucle,0.9911111111111112,2804,0.7155555555555555,seuil,2254,2804,0,0,37,20,7,5.81
temporel,0.7,1006,True,223,5039,victoire,1.0,2837,0.7066666666666667,seuil,9,2837,0,0,34,21,15,6.18
temporel,0.7,1007,True,223,5501,victoire,1.0,2770,0.7022222222222222,seuil,1,2770,0,0,43,23,3,2.8
temporel,0.7,1008,False,221,5072,corps,0.9955555555555555,2559,0.7022222222222222,seuil,3,2559,0,0,38,19,11,3.21
temporel,0.7,1009,False,220,7614,boucle,0.9911111111111112,2783,0.7022222222222222,seuil,2253,2783,0,0,39,22,6,4.68
temporel,0.7,1010,True,223,5281,victoire,1.0,2861,0.7022222222222222,seuil,1,2861,0,0,39,23,7,3.13
temporel,0.7,1011,True,223,5312,victoire,1.0,2210,0.7022222222222222,seuil,3,2210,0,0,39,23,8,3.25
temporel,0.7,1012,True,223,5728,victoire,1.0,2604,0.7066666666666667,seuil,53,2604,0,0,41,21,7,3.01
temporel,0.7,1013,True,223,4596,victoire,1.0,2269,0.7066666666666667,seuil,6,2269,0,0,44,22,3,2.57
temporel,0.7,1014,True,223,5342,victoire,1.0,2695,0.7022222222222222,seuil,1,2695,0,0,43,20,6,3.03
temporel,0.7,1015,True,223,5106,victoire,1.0,2700,0.7022222222222222,seuil,10,2700,0,0,40,17,14,3.87
temporel,0.7,1016,True,223,5219,victoire,1.0,2708,0.7066666666666667,seuil,2,2708,0,0,39,23,7,3.39
temporel,0.7,1017,True,223,5507,victoire,1.0,2557,0.7022222222222222,seuil,57,2557,0,0,42,20,10,4.95
