partie,score,record,score_moyen,epsilon,victoire
192,17,48,20.650,0.0100,41384,416.4,0
193,23,48,20.830,0.0100,41643,417.2,0
194,27,48,20.980,0.0100,41979,418.5,0
195,10,48,20.780,0.0100,42069,418.9,0
196,10,48,20.690,0.0100,42177,419.3,0
197,24,48,20.760,0.0100,42447,420.3,0
198,29,48,20.860,0.0100,42820,421.5,0
199,10,48,20.930,0.0100,42902,421.8,0
200,16,48,21.050,0.0100,43088,422.4,0
201,22,48,21.120,0.0100,43337,423.5,0
202,19,48,21.060,0.0100,43496,424.0,0
203,29,48,21.290,0.0100,43854,425.5,0
204,16,48,21.370,0.0100,44096,426.3,0
205,5,48,21.330,0.0100,44142,426.5,0
206,9,48,21.340,0.0100,44272,426.9,0
207,13,48,21.390,0.0100,44372,427.2,0
208,33,48,21.580,0.0100,44752,428.7,0
209,29,48,21.690,0.0100,45091,430.1,0
210,25,48,21.570,0.0100,45415,431.2,0
211,16,48,21.480,0.0100,45630,431.9,0
212,22,48,21.440,0.0100,45885,432.9,0
213,32,48,21.490,0.0100,46237,434.1,0
214,19,48,21.530,0.0100,46450,434.9,0
215,43,48,21.830,0.0100,47028,437.1,0
216,20,48,21.800,0.0100,47294,438.2,0
217,5,48,21.790,0.0100,47339,438.4,0
218,17,48,21.840,0.0100,47522,439.2,0
219,20,48,21.740,0.0100,47705,440.0,0
220,14,48,21.530,0.0100,47844,440.5,0
221,16,48,21.520,0.0100,48026,441.3,0
222,25,48,21.550,0.0100,48327,442.4,0
223,26,48,21.560,0.0100,48648,443.7,0
224,32,48,21.590,0.0100,49042,445.1,0
225,16,48,21.520,0.0100,49249,445.8,0
226,44,48,21.570,0.0100,49799,448.0,0
227,10,48,21.450,0.0100,49898,448.4,0
228,13,48,21.510,0.0100,50076,449.0,0
229,26,48,21.590,0.0100,50340,449.8,0
230,26,48,21.500,0.0100,50596,450.8,0
231,39,48,21.660,0.0100,51064,452.5,0
232,13,48,21.660,0.0100,51208,453.1,0
233,38,48,21.760,0.0100,51718,454.8,0
234,20,48,21.800,0.0100,51940,455.6,0
235,33,48,21.880,0.0100,52347,457.0,0
236,37,48,22.040,0.0100,52757,458.7,0
237,23,48,22.100,0.0100,52993,459.7,0
238,21,48,22.050,0.0100,53239,460.5,0
239,12,48,22.030,0.0100,53368,461.0,0
240,24,48,22.030,0.0100,53623,461.9,0
241,34,48,22.270,0.0100,53962,463.2,0
242,22,48,22.150,0.0100,54286,464.4,0
243,15,48,22.130,0.0100,54414,464.9,0
244,26,48,22.200,0.0100,54693,465.8,0
245,13,48,22.140,0.0100,54836,466.3,0
246,22,48,22.130,0.0100,55069,467.2,0
247,6,48,21.890,0.0100,55132,467.4,0
248,30,48,21.930,0.0100,55502,468.6,0
249,18,48,21.960,0.0100,55706,469.3,0
250,12,48,21.880,0.0100,55851,469.9,0
251,14,48,21.850,0.0100,55983,470.4,0
252,18,48,21.670,0.0100,56160,471.1,0
253,37,48,21.840,0.0100,56622,473.0,0
254,17,48,21.790,0.0100,56805,473.8,0
255,36,48,22.000,0.0100,57241,475.4,0
256,24,48,21.890,0.0100,57509,476.4,0
257,16,48,21.890,0.0100,57674,477.2,0
258,22,48,21.900,0.0100,57907,478.0,0
259,22,48,21.950,0.0100,58123,478.8,0
260,19,48,21.900,0.0100,58339,479.5,0
261,15,48,21.690,0.0100,58472,480.0,0
262,28,48,21.830,0.0100,58839,481.4,0
263,15,48,21.850,0.0100,59037,482.1,0
264,26,48,21.810,0.0100,59393,483.3,0
265,27,48,21.790,0.0100,59712,484.5,0
266,16,48,21.730,0.0100,59876,485.1,0
267,25,48,21.670,0.0100,60179,486.4,0
268,20,48,21.690,0.0100,60567,487.9,0
269,32,48,21.870,0.0100,60908,489.2,0
270,17,48,21.710,0.0100,61096,490.0,0
271,29,48,21.730,0.0100,61400,491.2,0
272,22,48,21.840,0.0100,61615,492.1,0
273,33,48,21.890,0.0100,61979,493.5,0
274,18,48,21.920,0.0100,62179,494.3,0
275,12,48,21.770,0.0100,62312,494.9,0
276,26,48,21.930,0.0100,62653,496.2,0
277,20,48,21.990,0.0100,62871,497.1,0
278,26,48,21.880,0.0100,63175,498.3,0
279,34,48,21.970,0.0100,63611,500.1,0
280,10,48,21.590,0.0100,63700,500.4,0
281,23,48,21.670,0.0100,63944,501.4,0
282,12,48,21.460,0.0100,64083,502.0,0
283,42,48,21.600,0.0100,64551,504.0,0
284,46,48,21.910,0.0100,65033,506.0,0
285,35,48,22.140,0.0100,65386,507.4,0
286,26,48,22.100,0.0100,65704,508.7,0
287,22,48,22.100,0.0100,65996,509.9,0
288,19,48,22.170,0.0100,66190,510.7,0
289,21,48,22.240,0.0100,66429,511.7,0
290,35,48,22.370,0.0100,66896,513.7,0
291,12,48,22.350,0.0100,67039,514.3,0
292,43,48,22.610,0.0100,67497,516.2,0
293,27,48,22.650,0.0100,67872,517.8,0
294,21,48,22.590,0.0100,68093,518.9,0
295,22,48,22.710,0.0100,68347,520.1,0
296,17,48,22.780,0.0100,68546,521.0,0
297,21,48,22.750,0.0100,68785,522.1,0
298,22,48,22.680,0.0100,69017,523.1,0
299,40,48,22.980,0.0100,69407,524.8,0
300,14,48,22.960,0.0100,69595,525.5,0
301,34,48,23.080,0.0100,69988,531.0,0
302,8,48,22.970,0.0100,70097,531.9,0
303,39,48,23.070,0.0100,70599,536.0,0
304,25,48,23.160,0.0100,70917,538.8,0
